stop_id,stop_name,lat,lon,sequences
740,Caledonia Rd at Raitherm Rd,43.701758,-79.464121,47:33
741,Caledonia Rd at Rogers Rd,43.68288,-79.457838,47:25
747,Caledonia Rd at Summit Ave,43.686657,-79.459454,47:27
761,Carpenter Rd at Steeles Ave West,43.79187,-79.447447,7:54
762,Cordova Ave at Central Park Roadway,43.647886,-79.52675,50:4
763,Cordova Ave at Dundas St West South Side,43.648526,-79.528396,40:29
767,Chaplin Cres at Lascelles Blvd,43.698153,-79.4006,14:3
770,Christie St at Dupont St,43.671498,-79.421389,126:5
773,Christie St at Follis Ave North Side,43.668608,-79.420307,126:3
775,Christie St at Melita Ave,43.673407,-79.422121,126:6
776,Christie Station,43.664124,-79.418567,126:1
778,Christie St at Yarmouth Rd North Side,43.670279,-79.420936,126:4
849,600 Commissioners St,43.655612,-79.32871,83:15
851,Lakeshore Garage,43.656152,-79.330193,114:1|325:1|83:16
852,Cosburn Ave at Coxwell Ave West Side,43.694085,-79.328558,322:29
853,545 Commissioners St East Side,43.655232,-79.329121,83:18
855,80 Cosburn Ave,43.689059,-79.350949,322:36|87:25
857,Cosburn Ave at Donlands Ave West Side,43.690981,-79.342035,322:33|87:22
860,Cosburn Ave at Logan Ave,43.68867,-79.352986,322:37|87:26
862,Cosburn Ave at Pape Ave,43.689514,-79.34864,322:35|87:24
864,Cosburn Ave at Todmorden Lane,43.690184,-79.345205,322:34|87:23
867,Crow Trail at Baldoon Rd,43.813546,-79.231021,339:3
868,Crow Trail at McGinty Pl,43.813581,-79.2284,339:2
871,Danforth Ave at Broadview Ave,43.676352,-79.35854,300:53
872,Danforth Ave at Byng Ave,43.692932,-79.280266,113:7|20:7
874,Danforth Ave at Caithness Ave,43.681063,-79.334596,300:45
877,Danforth Ave at Carlaw Ave,43.678557,-79.347166,300:50
881,Danforth Ave at Chester Ave,43.677652,-79.351832,300:51
884,Danforth Ave at Donlands Ave,43.680534,-79.337072,300:46
890,Danforth Ave at Glebemount Ave,43.684726,-79.317555,300:39
891,Danforth Ave at Gledhill Ave,43.686769,-79.308455,300:36
893,Danforth Ave at Greenwood Ave,43.681564,-79.332253,300:44
896,Danforth Ave at Jones Ave,43.679958,-79.339988,300:47
